place,address,latitude,longitude,country_geocoded,country_added,country
university of brescia,"717 Frederica St, Owensboro, KY 42301, USA",37.7687168,-87.1121506,United States,,United States
world vision australia,"2060 Owensville Rd, Charlottesville, VA 22901, USA",38.093171,-78.581104,United States,,United States
centre for social innovation,"601 W 26th St #325, New York, NY 10001, USA",40.751536,-74.00642,United States,,United States
florida gulf coast university,"10501 FGCU Blvd S, Fort Myers, FL 33965, USA",26.4637116,-81.7752618,United States,,United States
kyungpook national university,"80 Daehak-ro, Sangyeok 3(sam)-dong, Buk-gu, Daegu, South Korea",35.888836,128.6102997,South Korea,,South Korea
national water commission,"Calle Huatabampo, Morelos, 85110 Cd Obregón, Son., Mexico",27.5023161,-109.9659458,Mexico,,Mexico
university of tampere,"Kalevantie 4, 33100 Tampere, Finland",61.4941073,23.7792354,Finland,,Finland
john wiley sons,"90 Eglinton Ave E, Toronto, ON M4P 2Y3, Canada",43.7075668,-79.3957393,Canada,,Canada
alternatives,"46 Main St, Cassville, MO 65625, USA",36.6726574,-93.875311,United States,,United States
toyota,"2101 W Main St, Independence, KS 67301, USA",37.2231295,-95.7327976,United States,,United States
wenzhou university,"China, Zhejiang Sheng, Wenzhou Shi, Lucheng Qu, 民航路",28.00676,120.676186,China,,China
national kaohsiung marine university,"No. 142號, Haizhuan Road, Nanzih District, Kaohsiung City, Taiwan 811",22.7246559,120.3146027,Taiwan,,Taiwan
national safety council,"200 Salina Meadows Pkwy # 200, Syracuse, NY 13212, USA",43.099659,-76.162891,United States,,United States
world conservation monitoring centre,"219 Huntingdon Rd, Cambridge CB3 0DL, UK",52.2196892,0.0919354,United Kingdom,,United Kingdom
primary children s hospital,,,,,United States,United States
royal swedish academy of sciences,"Lilla Frescativägen 4A, 114 18 Stockholm, Sweden",59.3664516,18.0523106,Sweden,,Sweden
plos,,,,,United States,United States
dongguk university,"440 Shatto Pl, Los Angeles, CA 90020, USA",34.0659142,-118.289524,United States,,United States
taoyuan innovation institute of technology,"No. 414, Section 3, Zhongshan East Road, Zhongli District, Taoyuan City, Taiwan 320",24.9369569,121.2516879,Taiwan,,Taiwan
south african weather service,"Eco Glades block 1b, Eco Park, Cnr Olievenhoutbosch and, X097, Private Bag, 0157 Ribbon Grass Street, Eco-Park Estate, Centurion, 0001, South Africa",-25.8906897,28.1707337,South Africa,,South Africa
communist university of the toilers of the east,,,,,Russia,Russia
american institutes for research,"4700 Mueller Blvd, Austin, TX 78723, USA",30.3007289,-97.7063691,United States,,United States
university of swaziland,"Kwaluseni, Eswatini",-26.4790864,31.3068429,Eswatini,,Eswatini
manukau institute of technology,"Corner of East Tamaki Road and, Newbury Street, Otara, Auckland 2023, New Zealand",-36.9612043,174.8706747,New Zealand,,New Zealand
plymouth marine laboratory,"Prospect Pl, Plymouth PL1 3DH, UK",50.3660902,-4.1481041,United Kingdom,,United Kingdom
max healthcare,"1000 Eagle Ridge Dr, Schererville, IN 46375, USA",41.5029248,-87.4745179,United States,,United States
university college of medical sciences,"Gate No:2, Tahirpur Rd, GTB Enclave, Dilshad Garden, New Delhi, Delhi 110095, India",28.6833511,77.3099119,India,,India
fortis healthcare,,,,,India,India
mental health services,"Independence, KS 67301, USA",37.2242178,-95.7083133,United States,,United States
procter gamble,"5920 State Hwy V, Jackson, MO 63755, USA",37.4778327,-89.5251159,United States,,United States
polish academy of sciences,,,,,Poland,Poland
development alternatives incorporated,"7600 Wisconsin Ave, Bethesda, MD 20814, USA",38.9861368,-77.0950273,United States,,United States
east carolina university,"E 5th St, Greenville, NC 27858, USA",35.6055108,-77.3645653,United States,,United States
atlantic oceanographic and meteorological laboratory,"4301 Rickenbacker Causeway, Miami, FL 33149, USA",25.7346911,-80.1621812,United States,,United States
university of oulu,"Pentti Kaiteran katu 1, 90570 Oulu, Finland",65.0593177,25.4662935,Finland,,Finland
abo akademi university,"Tuomiokirkontori 3, 20500 Turku, Finland",60.4509869,22.2776003,Finland,,Finland
beijing university of chemical technology,"Chaoyang, China",39.970954,116.421053,China,,China
faculdade de ciencias e tecnologia da universidade nova de lisboa,"Largo da Torre, 2825-149 Caparica, Portugal",38.660964,-9.205813,Portugal,,Portugal
university of beira interior,"Universidade da Beira Interior, R. Marquês de Ávila e Bolama, 6201-001 Covilhã, Portugal",40.277859,-7.508983,Portugal,,Portugal
texas tech university health sciences center,"3601 FOURTH STREET STOP 6238, Lubbock, TX 79430, USA",33.5894627,-101.8918255,United States,,United States
universidade de ribeirao preto,"R. Itararé, 94 - Jardim Paulista, Ribeirão Preto - SP, 14090-070, Brazil",-21.181882,-47.79544,Brazil,,Brazil
beykent university,"Ayazağa, Hadım Koruyolu Cd. No:19, 34398 Sarıyer/İstanbul, Turkey",41.117278,29.003757,Turkey,,Turkey
china university of mining and technology,"丁11 Xueyuan Rd, Wu Dao Kou, Haidian Qu, Beijing Shi, China",39.996742,116.349608,China,,China
national dairy research institute,"GT Rd, near Jewels Hotel, Nyaypuri, Karnal, Haryana 132001, India",29.7014151,76.9847675,India,,India
coral reef alliance,"1330 Broadway #600, Oakland, CA 94612, USA",37.8039001,-122.2707943,United States,,United States
ibrahim medical college,"122 Kazi Nazrul Islam Avenue, Shahbagh, Dhaka 1000, Bangladesh",23.7384682,90.3963835,Bangladesh,,Bangladesh
king khalid university,"Guraiger, Abha 62529, Saudi Arabia",18.2477261,42.5610112,Saudi Arabia,,Saudi Arabia
nuffield college,"New Rd, Oxford OX1 1NF, UK",51.7526311,-1.2627841,United Kingdom,,United Kingdom
hellenic college,"50 Goddard Ave, Brookline, MA 02445, USA",42.3172451,-71.1288803,United States,,United States
institute of development studies kolkata,"27/D, DD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064, India",22.5899459,88.4103852,India,,India
kermanshah university of medical sciences,"Kermanshah Province, Kermanshah, Beheshti Blvd, Iran",34.3425843,47.0999202,Iran,,Iran
razi university,"Kermanshah Province, Kermanshah, Zakariya Razi Blvd, Iran",34.3880178,47.1087916,Iran,,Iran
eastern michigan university,"900 Oakwood St, Ypsilanti, MI 48197, USA",42.2506803,-83.624089,United States,,United States
changsha university of science and technology,"Wangxin Rd, Yuelu Qu, Changsha Shi, Hunan Sheng, China",28.21299,112.916326,China,,China
near east university,"Yakın Doğu Üniversitesi / Yakın Doğu Bulvarı Lefkoşa, KKTC 99010",35.2267351,33.3263852,,Cyprus,Cyprus
marmara university,"Eğitim, Fahrettin Kerim Gökay Cd., 34722 Kadıköy/İstanbul, Turkey",40.9870259,29.0528132,Turkey,,Turkey
hamdard university,"Madinat al-Hikmah، Hakim Mohammad Said Road، Madinatul Hikmat گڈاپ ٹاؤن، کراچی, ضلع کراچی, سندھ 74600, Pakistan",25.085652,67.009226,Pakistan,,Pakistan
central american university,"Pista de la Resistencia, Managua 14101, Nicaragua",12.1254835,-86.2708279,Nicaragua,,Nicaragua
bowling green state university,"Bowling Green, OH 43403, USA",41.3797788,-83.6300826,United States,,United States
athens university of economics and business,"28is Oktovriou 76, Athina 104 34, Greece",37.9942203,23.7325094,Greece,,Greece
pontificia universidade catolica de minas gerais,"R. do Rosário, 1081 - Angola, Betim - MG, 32604-115, Brazil",-19.9550716,-44.1984331,Brazil,,Brazil
university of north florida,"1 UNF Dr, Jacksonville, FL 32224, USA",30.2661204,-81.5072314,United States,,United States
federation university australia,"University Dr, Mount Helen VIC 3350, Australia",-37.626441,143.8910952,Australia,,Australia
libera,"708 Foote Ave #300, Jamestown, NY 14701, USA",42.093708,-79.1595339,United States,,United States
qimr berghofer medical research institute,"300 Herston Rd, Herston QLD 4006, Australia",-27.4493302,153.0272838,Australia,,Australia
university of oklahoma health sciences center,"865 Research Pkwy, Oklahoma City, OK 73104, USA",35.4742188,-97.5048466,United States,,United States
brock university,"1812 Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, Canada",43.1175731,-79.2476925,Canada,,Canada
federal university of bahia,"Av. Adhemar de Barros, s/nº - Ondina, Salvador - BA, 40170-110, Brazil",-13.003676,-38.5100127,Brazil,,Brazil
sevastopol state technical university,"ул. Университетская, 33, Sevastopol",44.5949987,33.475786,,Ukraine,Ukraine
university college hospital,"625 Harrison St, West Lafayette, IN 47906, USA",40.419404,-86.914784,United States,,United States
national ilan university,"No. 1, Section 1, Shennong Road, Yilan City, Yilan County, Taiwan 260",24.7462462,121.7477007,Taiwan,,Taiwan
great ormond street hospital,"Great Ormond Street, Holborn, London WC1N 3JH, UK",51.5218626,-0.1207462,United Kingdom,,United Kingdom
london north west healthcare nhs trust,"Northwick Park Hospital, A404 Watford Rd, Harrow HA1 3UJ, UK",51.5754423,-0.322738,United Kingdom,,United Kingdom
bucknell university,"One Dent Dr, Lewisburg, PA 17837, USA",40.9547722,-76.8850759,United States,,United States
marine biological laboratory,"7 Mbl St, Woods Hole, MA 02543, USA",41.5256351,-70.6724209,United States,,United States
hispanic health council,"175 Main St, Hartford, CT 06106, USA",41.7578793,-72.6758535,United States,,United States
parthenope university of naples,"Via Ammiraglio Ferdinando Acton, 38, 80133 Napoli NA, Italy",40.8377611,14.2534717,Italy,,Italy
paradigm,"204 S 122nd E Ave, Tulsa, OK 74146, USA",36.0893558,-95.8402274,United States,,United States
economic research service,"355 E St SW, Washington, DC 20024, USA",38.8837304,-77.0165323,United States,,United States
qinghai university,"China, Qinghai Sheng, Xining Shi, Chengbei Qu, 青海大学路",36.729494,101.751451,China,,China
state university of new york at oswego,"7060 NY-104, Oswego, NY 13126, USA",43.4513928,-76.5425285,United States,,United States
ames research center,"Moffett Blvd, Mountain View, CA 94035, USA",37.4088657,-122.064426,United States,,United States
nanjing university of posts and telecommunications,"9 Wenyuan Rd, Qixia District, Nanjing Shi, Jiangsu Sheng, China, 210049",32.0819945,118.7662779,China,,China
technological and higher education institute of hong kong,"133 Shing Tai Rd, Chai Wan, Hong Kong",22.269919,114.240714,Hong Kong,,Hong Kong
beijing union university,"China, Beijing Shi, Xicheng Qu, 丰盛胡同6号",39.918709,116.372004,China,,China
ministry of economic development,"2782 E Sweetwater Springs Blvd, Spring Valley, CA 91977, USA",32.7309476,-116.973472,United States,,United States
british trust for ornithology,"The Nunnery, Thetford IP24 2PU, UK",52.4063278,0.7521922,United Kingdom,,United Kingdom
alfaisal university,"Al Zahrawi Street interconnecting with، Takhassusi St, Al Maazer, Riyadh 11533, Saudi Arabia",24.6633117,46.677254,Saudi Arabia,,Saudi Arabia
li ka shing faculty of medicine university of hong kong,"21 Sassoon Rd, Pok Fu Lam, Hong Kong",22.26735,114.128271,Hong Kong,,Hong Kong
european academy of sciences and arts,"4080 Lafayette Center Dr Suite 170B, Chantilly, VA 20151, USA",38.9080686,-77.470279,United States,,United States
uthman dan fodiyo university,"Sokoto, Nigeria",13.1246469,5.1993704,Nigeria,,Nigeria
uem group,"17-2 Mercu UEM, Jalan Stesen Sentral 5 Kuala Lumpur Sentral, Wilayah Persekutuan, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1322703,101.6834809,Malaysia,,Malaysia
federal university of parana,"Rua XV de Novembro, 1299 - Centro - Centro, Curitiba - PR, 80060-000, Brazil",-25.4269081,-49.2617658,Brazil,,Brazil
universidade estadual de maringa,"Av. Colombo, 5790 - Zona 7, Maringá - PR, 87020-900, Brazil",-23.404717,-51.9399913,Brazil,,Brazil
west health,"631 Bessemer Super Hwy, Birmingham, AL 35228, USA",33.4523056,-86.9253326,United States,,United States
allameh tabataba i university,"Dehkadeh-ye-Olympic, Tehran, Tehran Province, Iran",35.7595726,51.2602973,Iran,,Iran
national society of professional engineers,"1420 King St, Alexandria, VA 22314, USA",38.805987,-77.05541,United States,,United States
chamber of commerce,"Independence, KS 67301, USA",37.09024,-95.712891,United States,,United States
cern,"Espl. des Particules 1, 1211 Meyrin, Switzerland",46.2330492,6.0556771,Switzerland,,Switzerland
helsinki institute of physics,,,,,Finland,Finland
telefonica,"805 S Madison Blvd, Bartlesville, OK 74006, USA",36.7452581,-95.9176061,United States,,United States
clinical trial service unit,,,,,United Kingdom,United Kingdom
shenyang university,"21 Wang Hua Nan Jie, Dadong Qu, Shenyang Shi, Liaoning Sheng, China",41.825583,123.46029,China,,China
city college of new york,"160 Convent Ave, New York, NY 10031, USA",40.8200471,-73.9492724,United States,,United States
swedish academy,"Källargränd 4, 111 29 Stockholm, Sweden",59.325347,18.070689,Sweden,,Sweden
manipal university,"Tiger Circle Road, Madhav Nagar, Manipal, Karnataka 576104, India",13.3533433,74.7848955,India,,India
beirut arab university,"Beirut, Lebanon",33.8728994,35.4969011,Lebanon,,Lebanon
flemish community,,,,,Belgium,Belgium
shanghai university,"266 Jufengyuan Rd, Baoshan Qu, Shanghai Shi, China",31.3148036,121.382746,China,,China
universidad autonoma metropolitana,"Prol. Canal de Miramontes 3855, Coapa, Ex de San Juan de Dios, Tlalpan, 14387 Ciudad de México, CDMX, Mexico",19.2871284,-99.1367395,Mexico,,Mexico
technological educational institute of athens,"Agiou Spiridonos 28, Egaleo 122 43, Greece",38.002643,23.6756869,Greece,,Greece
indian institute of technology bombay,"Main Gate Rd, IIT Area, Powai, Mumbai, Maharashtra 400076, India",19.1334302,72.9132679,India,,India
ecologic brands inc,"550 Carnegie St, Manteca, CA 95337, USA",37.7879428,-121.2104558,United States,,United States
faculdade de filosofia ciencias e letras de ribeirao preto,"Av. Bandeirantes, 3900 - Vila Monte Alegre, Ribeirão Preto - SP, 14040-900, Brazil",-21.1640579,-47.8589365,Brazil,,Brazil
rio de janeiro state university,"9º andar - Bloco C - R. São Francisco Xavier, 524 - Maracanã, Rio de Janeiro - RJ, 20550-900, Brazil",-22.9111739,-43.2361323,Brazil,,Brazil
engenderhealth,"505 9th St NW, Washington, DC 20004, USA",38.8964961,-77.0238161,United States,,United States
university of health sciences antigua,"Dr. Yele Akande Drive Piccadilly, Piccadilly, Antigua and Barbuda",17.0162772,-61.7525253,Antigua and Barbuda,,Antigua and Barbuda
coordenadoria de aperfeicoamento de pessoal de nivel superior,,,,,Brazil,Brazil
tampere university of technology,"Korkeakoulunkatu 7 Kampusareena, 33720 Tampere, Finland",61.4498286,23.8589986,Finland,,Finland
asm clermont auvergne,"35 Rue du Clos Four, 63000 Clermont-Ferrand, France",45.7892543,3.1053497,France,,France
chung yuan christian university,"No. 200, Zhongbei Road, Zhongli District, Taoyuan City, Taiwan 320",24.957537,121.2410215,Taiwan,,Taiwan
bombardier inc,"13100 Boulevard Henri Fabre, Mirabel, QC J7N 3C6, Canada",45.688499,-74.0185541,Canada,,Canada
university of asmara,"Mai Bela Ave, Asmara, Eritrea",15.3425304,38.9289887,Eritrea,,Eritrea
ministry of energy,"4, Hearst Block, 900 Bay St, Toronto, ON M7A 2E1, Canada",43.6633629,-79.3876388,Canada,,Canada
henan university,"Minglun St, Shunhe Huizuqu, Kaifeng Shi, Henan Sheng, China",34.808921,114.369752,China,,China
the aga khan university hospital,"National Stadium Rd, Aga Khan University Hospital, Karachi, Karachi City, Sindh 74800, Pakistan",24.8920057,67.0747154,Pakistan,,Pakistan
huaihai institute of technology,"59 Cangwu Rd, Haizhou Qu, Lianyungang Shi, Jiangsu Sheng, China, 222005",34.605864,119.221857,China,,China
ochanomizu university,"2-chōme-1-1 Ōtsuka, Bunkyo City, Tōkyō-to 112-8610, Japan",35.7187329,139.7316833,Japan,,Japan
tungnan university,"No. 152號, Section 3, Beishen Road, Shenkeng District, New Taipei City, Taiwan 222",25.0034002,121.6044633,Taiwan,,Taiwan
beni suef university,"Qism Bani Sweif, Bani Sweif, Beni Suef Governorate, Egypt",29.082829,31.102181,Egypt,,Egypt
chiba university,"1-33 Yayoichō, Inage-ku, Chiba, 263-8522, Japan",35.6278093,140.1035063,Japan,,Japan
los angeles community college district,"855 N Vermont Ave, Los Angeles, CA 90029, USA",34.0872692,-118.2924734,United States,,United States
university of missouri st louis,"1 University Blvd, St. Louis, MO 63121, USA",38.7092187,-90.3083223,United States,,United States
sokoine university of agriculture,"Morogoro, Tanzania",-6.8521468,37.6576292,Tanzania,,Tanzania
general electric,"1920 E 19th Ave, Winfield, KS 67156, USA",37.2321644,-96.9749762,United States,,United States
zurich university of applied sciences zhaw,"Gertrudstrasse 15, 8400 Winterthur, Switzerland",47.4998714,8.7203021,Switzerland,,Switzerland
asia university,"No. 500號, Liufeng Road, Wufeng District, Taichung City, Taiwan 41354",24.046532,120.686421,Taiwan,,Taiwan
university of colorado colorado springs,"1420 Austin Bluffs Pkwy, Colorado Springs, CO 80918, USA",38.8962961,-104.8061551,United States,,United States
valparaiso university,"1700 Chapel Dr, Valparaiso, IN 46383, USA",41.4639394,-87.0438893,United States,,United States
kun shan university,"No. 195號, Kunda Road, Yongkang District, Tainan City, Taiwan 710",22.9977586,120.2530937,Taiwan,,Taiwan
cape peninsula university of technology,"Symphony Way, Bellville South, Cape Town, 7535, South Africa",-33.9324205,18.6406446,South Africa,,South Africa
novo nordisk,"800 Scudders Mill Rd, Plainsboro Township, NJ 08536, USA",40.3381111,-74.6045922,United States,,United States
world economic forum,"11, 350 Madison Ave, New York, NY 10017, USA",40.7547585,-73.9783584,United States,,United States
university of ferrara,"Via Savonarola, 9, 44121 Ferrara FE, Italy",44.8334299,11.6262692,Italy,,Italy
lulea university of technology,"971 87 Luleå, Sweden",65.6179964,22.1401794,Sweden,,Sweden
it university of copenhagen,"Rued Langgaards Vej 7, 2300 København, Denmark",55.659635,12.590958,Denmark,,Denmark
agricultural university of hebei,"289 Lingyusi St, Lianchi Qu, Baoding Shi, Hebei Sheng, China",38.850606,115.483441,China,,China
national center for science education,"1904 Franklin St Suite 600, Oakland, CA 94612, USA",37.8073568,-122.2674248,United States,,United States
nationwide children s hospital,"700 Children's Dr, Columbus, OH 43205, USA",39.9532936,-82.979268,United States,,United States
university of sierra leone,"17 British Council Road, Freetown, Sierra Leone",8.4854749,-13.2320076,Sierra Leone,,Sierra Leone
nepal medical college,"Jorpati-Sundarijal Road, Gokarneshwor 44600, Nepal",27.7330219,85.3805827,Nepal,,Nepal
universite de moncton,"165 Boulevard Hébert, Edmundston, NB E3V 2S8, Canada",47.3707358,-68.3155999,Canada,,Canada
tianjin polytechnic university,"399 Binshui W Rd, Xiqing Qu, Tianjin Shi, China",39.0685519,117.1139951,China,,China
university of education winneba,"Asuoyeboa, Kumasi, Ghana",6.6997175,-1.6821432,Ghana,,Ghana
marshall university,"1 John Marshall Dr, Huntington, WV 25755, USA",38.4235252,-82.4264145,United States,,United States
psa peugeot citroen,"Bloco F - Av. Maria Coelho Aguiar, 215 - 5o e 6o andares - Jardim São Luís, São Paulo - SP, 04753-100, Brazil",-23.6504249,-46.7298196,Brazil,,Brazil
university of texas health science center at houston,"7000 Fannin St #1200, Houston, TX 77030, USA",29.7031663,-95.4032312,United States,,United States
shandong jianzhu university 山東建築大學,"China, Shandong Sheng, Jinan Shi, Lixia District, 世纪大道",36.679158,117.179382,China,,China
international medical corps,"1313 L St NW #220, Washington, DC 20005, USA",38.9040804,-77.0306208,United States,,United States
radcliffe institute for advanced study,"10 Garden St, Cambridge, MA 02138, USA",42.3762091,-71.1222079,United States,,United States
cambridge health alliance,"1493 Cambridge St, Cambridge, MA 02139, USA",42.3748656,-71.1044036,United States,,United States
university of cadiz,"Paseo de Carlos III, 28, 11003 Cádiz, Spain",36.5376145,-6.3004959,Spain,,Spain
california state university san marcos,"333 S Twin Oaks Valley Rd, San Marcos, CA 92096, USA",33.1294938,-117.1595707,United States,,United States
delta state university abraka,"Abraka, Nigeria",5.7894321,6.1023468,Nigeria,,Nigeria
nanjing university of technology,"5 New Mofan Rd, Gulou Qu, Nanjing Shi, Jiangsu Sheng, China",32.076734,118.778139,China,,China
wheelock college,"200 The, Riverway, Boston, MA 02215, USA",42.3417611,-71.1064572,United States,,United States
king abdullah university of science and technology,"Thuwal 23955, Saudi Arabia",22.309465,39.104697,Saudi Arabia,,Saudi Arabia
loyola marymount university,"1 Loyola Marymount University Dr, Los Angeles, CA 90045, USA",33.9701634,-118.4166111,United States,,United States
kampala capital city authority,"City Hall, Kampala, Uganda",0.3149631,32.5862304,Uganda,,Uganda
k s hegde medical academy,"P.O. Nityanandanagar, Deralakatte, Mangalore, Karnataka 575018, India",12.8096253,74.8835528,India,,India
zamorano,"Apartado Postal 93, Km 30 carretera de Tegucigalpa a Danlí, Valle del Yeguare, Municipio de San Antonio de Oriente., Francisco Morazán, Honduras., Tegucigalpa 11101, Honduras",14.009895,-87.011206,Honduras,,Honduras
aleksander moisiu university,"14, 2001, Rruga Currila, Durrës, Albania",41.3133614,19.4342029,Albania,,Albania
victoria university of wellington,"Kelburn, Wellington 6012, New Zealand",-41.2901075,174.7678789,New Zealand,,New Zealand
government of south africa,"120 Plein St, Cape Town City Centre, Cape Town, 8000, South Africa",-33.9272017,18.4199908,South Africa,,South Africa
mental health foundation,"1450 Western Ave #101, Albany, NY 12203, USA",42.6800519,-73.8373077,United States,,United States
chia nan university of pharmacy and science,"No. 60號, Section 1, Erren Road, Rende District, Tainan City, Taiwan 71710",22.9209971,120.2253459,Taiwan,,Taiwan
university of the azores,"R. da Mãe de Deus, 9500-321 Ponta Delgada, Portugal",37.7459979,-25.6638011,Portugal,,Portugal
instituto superior de agronomia,"Tapada da Ajuda, 1349-017 Lisboa, Portugal",38.7076284,-9.1823055,Portugal,,Portugal
ministry of water resources and irrigation,,,,,Egypt,Egypt
university of richmond,"410 Westhampton Way, Richmond, VA 23173, USA",37.5751669,-77.5407146,United States,,United States
university of tabriz,"East Azerbaijan Province, Tabriz, 29 Bahman Boulevard، Iran",38.0633969,46.329399,Iran,,Iran
shanghai ocean university,"999 Hucheng Ring Rd, Pudong Xinqu, Shanghai Shi, China",30.883691,121.896556,China,,China
kansas department of agriculture division of water resources,"1320 Research Park Dr, Manhattan, KS 66506, USA",39.2018304,-96.577742,United States,,United States
ramon llull university,"Carrer de Claravall, 1, 3, 08022 Barcelona, Spain",41.411921,2.13122,Spain,,Spain
acadia university,"15 University Ave, Wolfville, NS B4P 2R6, Canada",45.0885733,-64.366817,Canada,,Canada
colef,"Av. de los Insurgentes 3708, Las Palmas, 32350 Cd Juárez, Chih., Mexico",31.731577,-106.452277,Mexico,,Mexico
zhejiang sci tech university,"Xuelin St, Xia Sha, Jianggan Qu, Hangzhou Shi, Zhejiang Sheng, China",30.315807,120.3517315,China,,China
kunming medical university,"191 Renmin W Rd, Xishan Qu, Kunming Shi, Yunnan Sheng, China",25.044101,102.687007,China,,China
pierre and marie curie university,"4 Place Jussieu, 75005 Paris, France",48.8471036,2.357499,France,,France
ministry of public works,"676 Hwy 124, McKellar, ON P0G 1C0, Canada",45.506809,-79.922685,Canada,,Canada
university of catania,"Piazza Università, 2, 95124 Catania CT, Italy",37.5035647,15.0864981,Italy,,Italy
old dominion university,"5115 Hampton Blvd, Norfolk, VA 23529, USA",36.8858594,-76.3057051,United States,,United States
new zealand institute for crop and food research,"Plant & Food Research Gerald St, Lincoln 7608, New Zealand",-43.6404947,172.4754026,New Zealand,,New Zealand
british university in egypt,"Suez Desert Road El Sherouk City، Al Shorouk, Cairo Governorate 11837, Egypt",30.1177753,31.605976,Egypt,,Egypt
szechenyi istvan university,"Győr, Egyetem tér 1, 9026 Hungary",47.6933064,17.6275327,Hungary,,Hungary
tokyo metropolitan university,"1 Chome-1 Minamiosawa, Hachioji, Tokyo 192-0397, Japan",35.6203179,139.3819957,Japan,,Japan
tokyo medical and dental university,"1-chōme-5-45 Yushima, Bunkyo City, Tōkyō-to 113-8510, Japan",35.7014781,139.7642268,Japan,,Japan
seattle pacific university,"3307 3rd Ave W, Seattle, WA 98119, USA",47.6491714,-122.3618554,United States,,United States
university of dusseldorf,"Universitätsstraße 1, 40225 Düsseldorf, Germany",51.1913404,6.7940893,Germany,,Germany
colorado school of mines,"1500 Illinois St, Golden, CO 80401, USA",39.7510475,-105.2225708,United States,,United States
inaf,"2440 Boulevard Hochelaga Suite 1710, Québec, QC G1V 0A6, Canada",46.7764329,-71.279144,Canada,,Canada
robert gordon university,"Garthdee House, Garthdee Rd, Aberdeen AB10 7AQ, UK",57.1180814,-2.1442173,United Kingdom,,United Kingdom
worcester polytechnic institute,"100 Institute Rd, Worcester, MA 01609, USA",42.2743015,-71.8081371,United States,,United States
desert research institute,"2215 Raggio Pkwy, Reno, NV 89512, USA",39.572025,-119.8008698,United States,,United States
st paul s hospital,"1081 Burrard St, Vancouver, BC V6Z 1Y6, Canada",49.280516,-123.1281872,Canada,,Canada
university of the mediterranean,"10 Place de la Joliette, 13002 Marseille, France",43.3055802,5.3660828,France,,France
instituto de salud carlos iii,"Av. de Monforte de Lemos, 5, 28029 Madrid, Spain",40.475481,-3.689995,Spain,,Spain
coffey international,,,,,Australia,Australia
jss medical college,"Bangalore - Mysore Rd, opposite J.S.S.Pharmacy College, Bannimantap A Layout, Bannimantap, Mysuru, Karnataka 570015, India",12.344073,76.6527248,India,,India
university of engineering and technology lahore,"GT Rd, Staff Houses Engineering University Lahore, Lahore, Punjab 39161, Pakistan",31.5799244,74.3563183,Pakistan,,Pakistan
university of talca,"Ruta 118, Talca, Maule, Chile",-35.4057651,-71.6348814,Chile,,Chile
icap,"1106 Meridian St, Anderson, IN 46016, USA",40.1047925,-85.6788817,United States,,United States
beijing forestry university,"35 Qinghua E Rd, Haidian Qu, Beijing Shi, China",40.004488,116.3499723,China,,China
strathclyde institute of pharmacy and biomedical sciences,"161 Cathedral St, Glasgow G4 0RE, UK",55.8628597,-4.2416073,United Kingdom,,United Kingdom
christian medical college hospital,"IDA Scudder Rd, Vellore, Tamil Nadu 632004, India",12.9246021,79.1348129,India,,India
california state university,"5151 State University Dr, Los Angeles, CA 90032, USA",34.0667698,-118.1684392,United States,,United States
new york medical college,"40 Sunshine Cottage Rd, Valhalla, NY 10595, USA",41.0845876,-73.8090021,United States,,United States
columbia university medical center,"1790 Broadway, New York, NY 10019, USA",40.7667294,-73.9814878,United States,,United States
yunnan university of finance and economics,"2502 Gaodeng St, Chenggong Qu, Kunming Shi, Yunnan Sheng, China",24.771663,102.808983,China,,China
national audit office,,,,,United Kingdom,United Kingdom
chungnam national university,"Chungnam National University, 99 Daehak-ro, Oncheon 2(i)-dong, Yuseong-gu, Daejeon, South Korea",36.3688345,127.3463229,South Korea,,South Korea
brookhaven national laboratory,"98 Rochester St, Upton, NY 11973, USA",40.8642635,-72.8751684,United States,,United States
chinese ministry of health,,,,,China,China
lawrence technological university,"21000 W 10 Mile Rd, Southfield, MI 48075, USA",42.4755011,-83.2497967,United States,,United States
sant anna school of advanced studies,"Piazza Martiri della Libertà, 33, 56127 Pisa PI, Italy",43.7209661,10.4027859,Italy,,Italy
donald danforth plant science center,"975 N Warson Rd, Olivette, MO 63132, USA",38.674333,-90.3971893,United States,,United States
the global fund to fight aids tuberculosis and malaria,"1634 I St NW #1100, Washington, DC 20006, USA",38.901137,-77.038928,United States,,United States
public works department,"102 W 7th St, Coffeyville, KS 67337, USA",37.0372183,-95.6157228,United States,,United States
university of paderborn,"Warburger Str. 100, 33098 Paderborn, Germany",51.7065615,8.7708341,Germany,,Germany
qom university of medical sciences,"Qom, Shahid Lavasani St, Iran",34.6517968,50.8908616,Iran,,Iran
university of gilan,"Rasht, Gilan Province, Iran",37.1936167,49.6409693,Iran,,Iran
purushottam institute of engineering technology,"Mandiakudar, Purusatam college, Rourkela, Odisha 770034, India",22.2265529,84.6954027,India,,India
hubei university of technology,"Hongshan, Wuhan, China",30.481761,114.31096,China,,China
pratt whitney,"275 E Robinson Ave, Springdale, AR 72764, USA",36.1665545,-94.1308963,United States,,United States
office for national statistics,,,,,United Kingdom,United Kingdom
group health research institute,"1730 Minor Ave, Seattle, WA 98101, USA",47.6169397,-122.329572,United States,,United States
